time,n_A+p,n_B,n_AB
100,0.084,0.888,0.028
200,0.086,0.862,0.052
300,0.088,0.828,0.084
400,0.100,0.812,0.088
500,0.106,0.786,0.108
600,0.102,0.774,0.124
700,0.124,0.756,0.120
800,0.118,0.782,0.100
900,0.104,0.800,0.096
1000,0.102,0.778,0.120
1100,0.114,0.764,0.122
1200,0.122,0.770,0.108
1300,0.144,0.752,0.104
1400,0.132,0.694,0.174
1500,0.136,0.702,0.162
1600,0.164,0.656,0.180
1700,0.178,0.624,0.198
1800,0.196,0.604,0.200
1900,0.210,0.620,0.170
2000,0.204,0.644,0.152
2100,0.224,0.632,0.144
2200,0.208,0.612,0.180
2300,0.214,0.608,0.178
2400,0.228,0.586,0.186
2500,0.232,0.578,0.190
2600,0.250,0.568,0.182
2700,0.252,0.554,0.194
2800,0.250,0.560,0.190
2900,0.248,0.564,0.188
3000,0.282,0.530,0.188
3100,0.294,0.538,0.168
3200,0.290,0.526,0.184
3300,0.284,0.506,0.210
3400,0.300,0.492,0.208
3500,0.360,0.446,0.194
3600,0.356,0.438,0.206
3700,0.388,0.384,0.228
3800,0.406,0.368,0.226
3900,0.388,0.392,0.220
4000,0.384,0.392,0.224
4100,0.378,0.398,0.224
4200,0.404,0.392,0.204
4300,0.442,0.360,0.198
4400,0.448,0.376,0.176
4500,0.462,0.366,0.172
4600,0.488,0.308,0.204
4700,0.494,0.332,0.174
4800,0.470,0.348,0.182
4900,0.474,0.344,0.182
5000,0.478,0.330,0.192
5100,0.484,0.326,0.190
5200,0.466,0.338,0.196
5300,0.498,0.348,0.154
5400,0.462,0.358,0.180
5500,0.452,0.378,0.170
5600,0.448,0.370,0.182
5700,0.440,0.334,0.226
5800,0.466,0.330,0.204
5900,0.464,0.344,0.192
6000,0.482,0.326,0.192
6100,0.490,0.312,0.198
6200,0.520,0.286,0.194
6300,0.516,0.274,0.210
6400,0.530,0.258,0.212
6500,0.568,0.252,0.180
6600,0.596,0.234,0.170
6700,0.606,0.202,0.192
6800,0.640,0.176,0.184
6900,0.650,0.138,0.212
7000,0.678,0.120,0.202
7100,0.670,0.128,0.202
7200,0.696,0.122,0.182
7300,0.720,0.116,0.164
7400,0.748,0.088,0.164
7500,0.748,0.084,0.168
7600,0.770,0.062,0.168
7700,0.772,0.054,0.174
7800,0.794,0.048,0.158
7900,0.814,0.052,0.134
8000,0.830,0.054,0.116
8100,0.846,0.042,0.112
8200,0.864,0.034,0.102
8300,0.884,0.026,0.090
8400,0.908,0.024,0.068
8500,0.910,0.014,0.076
8600,0.922,0.010,0.068
8700,0.928,0.010,0.062
8800,0.940,0.010,0.050
8900,0.948,0.008,0.044
9000,0.954,0.004,0.042
9100,0.954,0.004,0.042
9200,0.960,0.002,0.038
9300,0.974,0.002,0.024
9400,0.980,0.002,0.018
9500,0.992,0.002,0.006
9600,0.990,0.002,0.008
9700,0.990,0.002,0.008
9800,0.992,0.002,0.006
9900,0.994,0.002,0.004
10000,0.998,0.002,0.000
10100,0.998,0.002,0.000
10200,0.994,0.002,0.004
10300,0.992,0.002,0.006
10400,0.996,0.002,0.002
10500,0.998,0.000,0.002
10600,1.000,0.000,0.000
